provider,game_id,name,image_url,downloaded_file
bgaming_slot,410092,Mechanical Clover,,assets/Dcace/BGaming/Game Icon/410092_Mechanical Clover.png
bgaming_slot,410093,Four Lucky Diamonds,,assets/Dcace/BGaming/Game Icon/410093_Four Lucky Diamonds.png
bgaming_slot,410094,Lady Wolf Moon,,assets/Dcace/BGaming/Game Icon/410094_Lady Wolf Moon.png
bgaming_slot,410095,Fruit Million,,assets/Dcace/BGaming/Game Icon/410095_Fruit Million.png
bgaming_slot,410096,Hit The Route,,assets/Dcace/BGaming/Game Icon/410096_Hit The Route.png
bgaming_slot,410097,Johnny Cash,,assets/Dcace/BGaming/Game Icon/410097_Johnny Cash.png
bgaming_slot,410098,All Lucky Clovers,,assets/Dcace/BGaming/Game Icon/410098_All Lucky Clovers.png
bgaming_slot,410099,All Lucky Clovers,,assets/Dcace/BGaming/Game Icon/410099_AllLuckyClover5.png
bgaming_slot,410100,All Lucky Clovers,,assets/Dcace/BGaming/Game Icon/410100_AllLuckyClover20.png
bgaming_slot,410101,All Lucky Clovers,,assets/Dcace/BGaming/Game Icon/410101_AllLuckyClover40.png
bgaming_slot,410102,All Lucky Clovers,,assets/Dcace/BGaming/Game Icon/410102_AllLuckyClover100.png
bgaming_slot,410103,Book of Cats,,assets/Dcace/BGaming/Game Icon/410103_Book of Cats.png
bgaming_slot,410104,Elvis Frog in Vegas,,assets/Dcace/BGaming/Game Icon/410104_Elvis Frog in Vegas.jpg
bgaming_slot,410105,Four Lucky Clover,,assets/Dcace/BGaming/Game Icon/410105_Four Lucky Clover.png
bgaming_slot,410106,Avalon: The Lost Kingdom,,
bgaming_slot,410107,Deep Sea,,assets/Dcace/BGaming/Game Icon/410107_Deep Sea.png
bgaming_slot,410108,Spin And Spell,,assets/Dcace/BGaming/Game Icon/410108_Spin And Spell.png
bgaming_slot,410111,Jogo Do Bicho,,assets/Dcace/BGaming/Game Icon/410111_Jogo do bicho.png
bgaming_slot,410112,Jogo Do Bicho Simple,,assets/Dcace/BGaming/Game Icon/410112_Jogo Do Bicho Simple.png
bgaming_slot,410114,Plinko,,assets/Dcace/BGaming/Game Icon/410114_Plinko.png
bgaming_slot,410117,Rocket Dice,,assets/Dcace/BGaming/Game Icon/410117_rocket dice.png
bgaming_slot,410118,Fire Lightning,,assets/Dcace/BGaming/Game Icon/410118_Fire Lightning.png
bgaming_slot,410119,Aztec Magic Deluxe,,assets/Dcace/BGaming/Game Icon/410119_Aztec Magic Deluxe.png
bgaming_slot,410120,Platinum Lightning Deluxe,,assets/Dcace/BGaming/Game Icon/410120_Platinum Lightning Deluxe.png
bgaming_slot,410121,American Roulette,,assets/Dcace/BGaming/Game Icon/410121_American Roulette.jpg
bgaming_slot,410122,Book of Pyramids,,assets/Dcace/BGaming/Game Icon/410122_Book of Pyramids.png
bgaming_slot,410128,European Roulette,,assets/Dcace/BGaming/Game Icon/410128_European roulette.png
bgaming_slot,410130,French Roulette,,assets/Dcace/BGaming/Game Icon/410130_French roulette.jpg
bgaming_slot,410132,Heads and Tails,,assets/Dcace/BGaming/Game Icon/410132_Heads and Tails.png
bgaming_slot,410134,Lucky Lady's Clover,,assets/Dcace/BGaming/Game Icon/410134_Lucky Lady's Clover.png
bgaming_slot,410135,Minesweeper,,assets/Dcace/BGaming/Game Icon/410135_Minesweeper.png
bgaming_slot,410136,Multihand Blackjack,,assets/Dcace/BGaming/Game Icon/410136_Multihand Blackjack.jpg
bgaming_slot,410137,Multihand Blackjack Pro,,assets/Dcace/BGaming/Game Icon/410137_Multihand blackjack pro.png
bgaming_slot,410138,Platinum Lightning,,assets/Dcace/BGaming/Game Icon/410138_Platinum Lightning.png
bgaming_slot,410141,Scratch Dice,,assets/Dcace/BGaming/Game Icon/410141_Scratch Dice.png
bgaming_slot,410142,West Town,,assets/Dcace/BGaming/Game Icon/410142_West town.png
bgaming_slot,410147,Top Eagle,,assets/Dcace/BGaming/Game Icon/Top Eagle.png
bgaming_slot,410148,Royal Fruits MultiLines,,assets/Dcace/BGaming/Game Icon/Royal Fruits MultiLines.png
bgaming_slot,410149,Train to Rio Grande,,assets/Dcace/BGaming/Game Icon/Train to Rio Grande.png
bgaming_slot,410150,Kraken's Hunger,,
bgaming_slot,410151,Mine Gems,,assets/Dcace/BGaming/Game Icon/Mine Gems.png
bgaming_slot,410152,Catch the Gold Hold and Win,,assets/Dcace/BGaming/Game Icon/Catch the Gold Hold and Win.png
bgaming_slot,410153,Street Power,,assets/Dcace/BGaming/Game Icon/Street Power.png
bgaming_slot,410154,Wild West TRUEWAYS,,assets/Dcace/BGaming/Game Icon/Wild West TRUEWAYS.png
bgaming_slot,410155,Secret Bar Multidice X,,assets/Dcace/BGaming/Game Icon/Secret Bar Multidice X.png
bgaming_slot,410156,Gold Magnate,,assets/Dcace/BGaming/Game Icon/Gold Magnate.png
bgaming_slot,410157,Aviamasters,,assets/Dcace/BGaming/Game Icon/Aviamasters.png
bgaming_slot,410158,Fortuna TRUEWAYS,,assets/Dcace/BGaming/Game Icon/Fortuna TRUEWAYS.png
bgaming_slot,410159,Voodoo People,,assets/Dcace/BGaming/Game Icon/Voodoo People.png
bgaming_slot,410160,Alien Fruits 2,,assets/Dcace/BGaming/Game Icon/Alien Fruits 2.png
bgaming_slot,410161,Dragon Age Hold & Win (Dragon Age),,assets/Dcace/BGaming/Game Icon/Dragon Age Hold and Win.png
bgaming_slot,410162,Fishing Club,,assets/Dcace/BGaming/Game Icon/Fishing Club.png
bgaming_slot,410163,Gold of Minos,,assets/Dcace/BGaming/Game Icon/Gold of Minos.png
bgaming_slot,410164,OOF The Goldmine Planet,,
bgaming_slot,410165,Snoop Dogg Dollars,,assets/Dcace/BGaming/Game Icon/Snoop Dogg Dollars.png
bgaming_slot,410166,Forgotten,,assets/Dcace/BGaming/Game Icon/Forgotten.png
bgaming_slot,410167,Rotating Element,,assets/Dcace/BGaming/Game Icon/Rotating Element.png
bgaming_slot,410168,Haunted Reels,,assets/Dcace/BGaming/Game Icon/Haunted Reels.png
bgaming_slot,410169,Carnival Bonanza,,assets/Dcace/BGaming/Game Icon/Carnival Bonanza.png
bgaming_slot,410170,Wild Moon Thieves,,assets/Dcace/BGaming/Game Icon/Wild Moon Thieves.png
bgaming_slot,410171,Golden Pride,,assets/Dcace/BGaming/Game Icon/Golden Pride.png
